[70117]: 2-6	IORB created: 68696
[70222]: 6-6	IORB created: 68557
[70297]: 6-7	IORB created: 68752
[70387]: 7-10	IORB created: 69142
[70522]: 10-10	IORB created: 69022
[70627]: 10-12	IORB created: 68922
[70762]: 12-18	IORB created: 69587
[70972]: 18-21	IORB created: 69697
[71182]: 21-22	IORB created: 68317
[71392]: 22-31	IORB created: 69307
[71722]: 31-4	IORB created: 69937
[71917]: 4-6	IORB created: 70442
[72007]: 6-7	IORB created: 70417
[72097]: 7-10	IORB created: 70762
[72232]: 10-15	IORB created: 70834
[72412]: 15-16	IORB created: 70972
[72577]: 16-19	IORB created: 70222
[72772]: 19-19	IORB created: 70117
[72952]: 19-23	IORB created: 71692
[73192]: 23-23	IORB created: 70000
[73402]: 23-25	IORB created: 71254
[73642]: 25-0	IORB created: 72952
[73852]: 0-5	IORB created: 72772
[73957]: 5-7	IORB created: 72097
[74062]: 7-12	IORB created: 72412
[74227]: 12-9	IORB created: 72007
[74302]: 9-12	IORB created: 72265
[74452]: 12-15	IORB created: 72392
[74617]: 15-17	IORB created: 72646
[74797]: 17-18	IORB created: 73192
[74977]: 18-21	IORB created: 71917
[75187]: 21-26	IORB created: 71722
[75457]: 26-3	IORB created: 74797
[75637]: 3-3	IORB created: 74251
[75697]: 3-5	IORB created: 74302
[75787]: 5-5	IORB created: 74062
[75862]: 5-10	IORB created: 74617
[76012]: 10-10	IORB created: 74452
[76117]: 10-10	IORB created: 74227
[76222]: 10-21	IORB created: 74977
[76492]: 21-22	IORB created: 73701
[76702]: 22-25	IORB created: 75253
[76942]: 25-8	IORB created: 75898
[77032]: 8-12	IORB created: 76816
[77182]: 12-12	IORB created: 76742
[77302]: 12-14	IORB created: 76925
[77452]: 14-16	IORB created: 75637
[77617]: 16-21	IORB created: 76702
[77842]: 21-24	IORB created: 75697
[78082]: 24-26	IORB created: 76836
[78322]: 26-27	IORB created: 75481
[78562]: 27-0	IORB created: 78082
[78787]: 0-5	IORB created: 77032
[78892]: 5-15	IORB created: 77520
[79117]: 15-13	IORB created: 77092
[79237]: 13-15	IORB created: 77448
[79402]: 15-17	IORB created: 77757
[79582]: 17-21	IORB created: 78322
[79807]: 21-19	IORB created: 77666
[79972]: 19-21	IORB created: 76942
[80182]: 21-23	IORB created: 77182
[80407]: 23-24	IORB created: 77878
[80632]: 24-3	IORB created: 78813
[80797]: 3-10	IORB created: 80407
[80962]: 10-13	IORB created: 79582
[81112]: 13-6	IORB created: 78925
[81142]: 6-13	IORB created: 79621
[81322]: 13-13	IORB created: 79347
[81457]: 13-14	IORB created: 79117
[81607]: 14-14	IORB created: 78562
[81742]: 14-15	IORB created: 80000
[81892]: 15-16	IORB created: 79972
[82057]: 16-24	IORB created: 80410
[82327]: 24-8	IORB created: 80797
[82417]: 8-9	IORB created: 81181
[82522]: 9-10	IORB created: 81112
[82642]: 10-11	IORB created: 81024
[82762]: 11-13	IORB created: 81460
[82912]: 13-16	IORB created: 82257
[83092]: 16-21	IORB created: 80632
[83317]: 21-26	IORB created: 81742
[83587]: 26-26	IORB created: 81142
[83812]: 26-31	IORB created: 81322
[84112]: 31-0	IORB created: 82417
[84367]: 0-5	IORB created: 83812
[84472]: 5-10	IORB created: 82762
[84622]: 10-12	IORB created: 82912
[84757]: 12-14	IORB created: 83092
[84907]: 14-14	IORB created: 82661
[85042]: 14-21	IORB created: 83373
[85282]: 21-21	IORB created: 82327
[85477]: 21-25	IORB created: 82522
[85732]: 25-30	IORB created: 83851
[86032]: 30-2	IORB created: 84386
[86257]: 2-3	IORB created: 85282
[86317]: 3-10	IORB created: 85042
[86482]: 10-10	IORB created: 84757
[86587]: 10-10	IORB created: 84559
[86692]: 10-10	IORB created: 84112
[86797]: 10-11	IORB created: 84650
